id,Программа,Источник,Подтверждённые часы
0f867a6a9c9cdfc8,ДПП Разработка нефтяных и газовых месторождений,"Список программ ДПП.pdf, пункт 60",
d004cd396a3decc8,ДПП Промышленное и гражданское строительство,"Список программ ДПП.pdf, пункт 63",
98e5ae49ce7fcfa6,ДПП Производитель работ,"Список программ ДПП.pdf, пункт 64",
a36bde3a7a9829b9,"ДПП Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ","Список программ ДПП.pdf, пункт 65",
5ed8b943e2ae4169,ДПП Проектирование систем водоснабжения и водоотведения,"Список программ ДПП.pdf, пункт 66",
f6eb03f81bf43b7c,ДПП Проектирование инженерных сооружений и линий наружного освещения,"Список программ ДПП.pdf, пункт 67",
67e9014c88d47e72,ДПП Проектирование зданий и сооружений,"Список программ ДПП.pdf, пункт 68",
bd81a813bb5c8a30,ДПП Охрана окружающей среды и рациональное использование природных ресурсов,"Список программ ДПП.pdf, пункт 69",
eed043236adc27b1,ДПП Организация управления отделом технического контроля,"Список программ ДПП.pdf, пункт 70",
45f51e427c11f0b1,ДПП Организация работы складского хозяйства и учёт товарно-материальных ценностей,"Список программ ДПП.pdf, пункт 71",
a0aaae4bf65abb21,ДПП Организация материально-технического снабжения,"Список программ ДПП.pdf, пункт 72",
a0510ac811202841,"ДПП Организация и осуществление работ по химическому анализу воды в системах водоснабжения, водоотведения, теплоснабжения","Список программ ДПП.pdf, пункт 73",
b5055d2477dea798,ДПП Общестроительные работы,"Список программ ДПП.pdf, пункт 75",
2dd25c88c0de5021,ДПП Обогащение полезных ископаемых,"Список программ ДПП.pdf, пункт 76",
bad3825ec610a13e,ДПП Нефтегазовое дело,"Список программ ДПП.pdf, пункт 77",
df4bd15457f53ca4,ДПП Метрология. Обеспечение единства измерений.,"Список программ ДПП.pdf, пункт 78",
191d2d258863dc32,"ДПП Метрология, стандартизация, сертификация","Список программ ДПП.pdf, пункт 79",
4cc0d82c85f01e24,ДПП Металлургия черных металлов,"Список программ ДПП.pdf, пункт 80",
ef7d232a7b283797,ДПП Менеджмент предприятия,"Список программ ДПП.pdf, пункт 81",
